date,lithium_carbonate_battery_grade_CNY_10k_per_ton,iron_phosphate_precursor_index_CNY_per_ton,natural_graphite_spherical_FOB_USD_per_ton,LiPF6_electrolyte_salt_CNY_10k_per_ton,notes
2019-01,7.95,10500,3200,11.2,补贴退坡过渡期
2019-02,7.80,10300,3180,10.8,
2019-03,7.55,10000,3150,10.5,
2019-04,7.40,9800,3100,10.2,
2019-05,7.35,9700,3080,9.8,
2019-06,7.28,9550,3050,9.5,补贴大幅退坡执行
2019-07,7.10,9400,3000,9.3,
2019-08,6.85,9200,2980,9.0,
2019-09,6.50,9050,2950,8.8,
2019-10,6.20,8900,2900,8.5,
2019-11,5.85,8750,2850,8.2,
2019-12,5.50,8600,2820,7.8,锂价低谷
2020-01,5.20,8500,2800,7.5,
2020-02,5.10,8400,2780,7.3,国内疫情爆发
2020-03,4.80,8300,2750,7.0,
2020-04,4.60,8200,2720,6.8,
2020-05,4.45,8100,2700,6.5,
2020-06,4.30,8000,2680,6.3,锂价历史低位
2020-07,4.35,8050,2690,6.4,需求开始恢复
2020-08,4.50,8150,2720,6.6,
2020-09,4.65,8250,2750,6.8,
2020-10,4.80,8350,2780,7.0,
2020-11,4.95,8450,2820,7.3,
2020-12,5.20,8600,2850,7.8,碳酸锂价格开始抬头
2021-01,5.80,8800,2900,8.5,
2021-02,6.50,9100,2980,9.5,
2021-03,8.20,9800,3100,11.5,
2021-04,9.50,10500,3250,13.5,
2021-05,10.80,11200,3400,15.5,
2021-06,13.50,12500,3580,18.0,
2021-07,16.00,14200,3750,22.0,
2021-08,18.50,15800,3950,26.0,
2021-09,22.00,17500,4200,32.0,
2021-10,25.00,19800,4450,36.0,
2021-11,28.00,21500,4650,40.0,
2021-12,32.00,24200,4900,45.0,锂价加速冲顶
2022-01,36.00,26800,5100,48.0,
2022-02,40.00,29800,5300,52.0,
2022-03,48.00,34200,5600,56.0,碳酸锂月度涨幅惊人
2022-04,50.00,35800,5800,58.0,上海封控加剧供应链担忧
2022-05,46.00,33500,5650,55.0,
2022-06,47.00,34000,5700,56.0,
2022-07,48.00,34800,5750,57.0,
2022-08,49.00,35200,5780,58.0,
2022-09,51.00,36200,5850,59.0,
2022-10,55.00,38500,6000,60.0,
2022-11,60.00,41200,6200,62.0,碳酸锂历史峰值！！约60万元/吨
2022-12,54.00,38800,6050,58.0,价格开始回落
2023-01,48.00,35200,5850,52.0,
2023-02,42.00,31800,5600,46.0,
2023-03,34.00,27200,5350,38.0,
2023-04,28.00,22800,5100,30.0,
2023-05,22.00,18200,4800,24.0,
2023-06,18.00,15500,4550,20.0,
2023-07,16.00,14200,4350,18.0,
2023-08,14.50,13200,4200,16.5,
2023-09,12.00,11800,3950,14.0,
2023-10,11.00,11200,3800,12.5,
2023-11,10.50,10800,3720,11.8,
2023-12,10.00,10500,3650,11.2,石墨出口管制正式生效
2024-01,9.80,10300,3800,10.8,石墨管制推高价格
2024-02,9.50,10100,3900,10.5,
2024-03,10.50,10600,3950,11.5,
2024-04,11.20,11000,3920,12.0,
2024-05,11.00,10800,3850,11.8,
2024-06,10.80,10700,3800,11.5,
2024-07,10.50,10500,3780,11.2,
2024-08,10.20,10400,3750,11.0,
2024-09,10.00,10300,3720,10.8,
2024-10,9.80,10200,3700,10.5,
2024-11,9.50,10100,3680,10.3,
2024-12,9.50,10000,3650,10.2,
